Name	Link
i7 1065G7/16GB RAM/512GB (Đen) 40.999.000₫	https://www.hanoicomputer.vn/microsoft-surface-pro-7-i7-1065g7-16gb-ram-512gb-ssd-12-3-pixelsense-win-10-home-den
i7 1065G7/16GB RAM/1TB (Đen) 59.999.000₫	https://www.hanoicomputer.vn/microsoft-surface-pro-7-i7-1065g7-16gb-ram-1tb-ssd-12-3-pixelsense-win-10-home-den
"MICROSOFT SURFACE PRO 7 (PVT-00015/RQQ-00001) (I7 1065G7/16GB RAM/256GB SSD/12.3""/WIN10 HOME/ĐEN)(BẢO HÀNH TẠI HACOM)"	https://www.hanoicomputer.vn/microsoft-surface-pro-7-i7-1065g7-16gb-ram-256gb-ssd-12-3-pixelsense-win-10-home-den
i5 1035G4/8GB RAM/128GB 20.999.000₫	None
i5 1035G4/8GB RAM/128GB /Keyboard/Bạc 23.499.000₫	https://www.hanoicomputer.vn/microsoft-surface-pro-7-i5-8gb-ram-keyboard-bac
i5 1035G4/8GB RAM/256GB /Keyboard/Đen 26.999.000₫	https://www.hanoicomputer.vn/microsoft-surface-pro-7-i5-1035g4-8gb-ram-256gb-ssd-12-3-inch-win10-home-keyboard-den
i5 1035G4/8GB RAM/256GB/Đen 24.999.000₫	https://www.hanoicomputer.vn/microsoft-surface-pro-7-i5-1035g4-8gb-ram-256gb-ssd-den
i5 1035G4/8GB RAM/256GB /Keyboard/Bạc 28.279.000₫	https://www.hanoicomputer.vn/microsoft-surface-pro-7-i5-1035g4-8gb-ram-256gb-ssd-12-3-inch-win10-home-keyboard-bac
"MICROSOFT SURFACE PRO 7 (VDV-00001/VDV-0007/QDW-00001) (I5 1035G4/8GB RAM/128GB SSD/12.3""/WIN10 HOME/BẠC)(BẢO HÀNH TẠI HACOM)"	https://www.hanoicomputer.vn/microsoft-surface-pro-7-i5-8gb-ram-bac
LAPTOP DELL GAMING G3 15 G3500B (P89F002G3500B) (I7 10750H/16GB RAM/512GB SSD/15.6 INCH FHD 120HZ/GTX1660TI 6G/WIN10/ĐEN) (2020)	https://www.hanoicomputer.vn/laptop-dell-gaming-g3-15-g3500b-p89f002-den
"MICROSOFT SURFACE PRO 7 (I5 1035G4/8GB RAM/256GB SSD/12.3""/WIN10 HOME/BẠC) (BẢO HÀNH TẠI HACOM)"	https://www.hanoicomputer.vn/microsoft-surface-pro-7-qdx-00001-bac
LAPTOP MSI PRESTIGE 15 A11SCX (209VN) (I7 1185G7/16GB/512GB SSD/1650 MAX Q/15.6FHD/WIN10/XÁM)	https://www.hanoicomputer.vn/laptop-msi-prestige-15-a11scx-209vn-xam
Màu Vàng 19.189.000₫	https://www.hanoicomputer.vn/surface-laptop-go-i5-1035g1-8gb-ram-128gb-ssd-12-4-cam-ung-win-10-vang
Màu Xanh 18.999.000₫	https://www.hanoicomputer.vn/surface-laptop-go-i5-1035g1-8gb-ram-128gb-ssd-12-4-cam-ung-win-10-xanh
Màu Bạc 18.999.000₫	None
SURFACE LAPTOP GO (THH-00001)(I5 1035G1/8GB RAM/128GB SSD/12.4 CẢM ỨNG/WIN 10/BẠC)(BẢO HÀNH TẠI HACOM)	https://www.hanoicomputer.vn/surface-laptop-go-i5-1035g1-8gb-ram-128gb-ssd-12-4-cam-ung-win-10-bac
Màu Vàng 19.189.000₫	https://www.hanoicomputer.vn/surface-laptop-go-i5-1035g1-8gb-ram-128gb-ssd-12-4-cam-ung-win-10-vang
Màu Xanh 18.999.000₫	None
Màu Bạc 18.999.000₫	https://www.hanoicomputer.vn/surface-laptop-go-i5-1035g1-8gb-ram-128gb-ssd-12-4-cam-ung-win-10-bac
SURFACE LAPTOP GO (THH-00024) (I5 1035G1/8GB RAM/128GB SSD/12.4 CẢM ỨNG/WIN 10/XANH)(BẢO HÀNH TẠI HACOM)	https://www.hanoicomputer.vn/surface-laptop-go-i5-1035g1-8gb-ram-128gb-ssd-12-4-cam-ung-win-10-xanh
Màu Vàng 19.189.000₫	None
Màu Xanh 18.999.000₫	https://www.hanoicomputer.vn/surface-laptop-go-i5-1035g1-8gb-ram-128gb-ssd-12-4-cam-ung-win-10-xanh
Màu Bạc 18.999.000₫	https://www.hanoicomputer.vn/surface-laptop-go-i5-1035g1-8gb-ram-128gb-ssd-12-4-cam-ung-win-10-bac
SURFACE LAPTOP GO (THH-00035)(I5 1035G1/8GB RAM/128GB SSD/12.4 CẢM ỨNG/WIN 10/VÀNG)(BẢO HÀNH TẠI HACOM)	https://www.hanoicomputer.vn/surface-laptop-go-i5-1035g1-8gb-ram-128gb-ssd-12-4-cam-ung-win-10-vang
Màu Vàng 21.499.000₫	https://www.hanoicomputer.vn/surface-laptop-go-i5-1035g1-8gb-ram-256gb-ssd-12-4-cam-ung-win-10-vang
Màu Xanh 21.499.000₫	None
Màu Bạc 21.499.000₫	https://www.hanoicomputer.vn/surface-laptop-go-i5-1035g1-8gb-ram-256gb-ssd-12-4-cam-ung-win-10-bac
SURFACE LAPTOP GO (THJ-00024)(I5 1035G1/8GB RAM/256GB SSD/12.4 CẢM ỨNG/WIN 10/XANH)(BẢO HÀNH TẠI HACOM)	https://www.hanoicomputer.vn/surface-laptop-go-i5-1035g1-8gb-ram-256gb-ssd-12-4-cam-ung-win-10-xanh
LAPTOP HP ENVY 13-BA1030TU (2K0B6PA) (I7 1165G7/8GB RAM/512GB SSD/13.3 INCH FHD/FP/WIN10/OFFICE/VÀNG)	https://www.hanoicomputer.vn/laptop-hp-envy-13-ba1030tu-2k0b6pa-vang
LAPTOP MSI PRESTIGE 14 EVO A11M 089VN (I7 1185G7/16GB RAM/512GBSSD/14.0 INCH FHD/WIN10/XÁM)	https://www.hanoicomputer.vn/laptop-msi-prestige-14-evo-a11m-089vn-xam
LAPTOP MSI GAMING BRAVO 15 A4DCR (270VN) (R5-4600H/8GB RAM/256GBSSD/RX 5300 3GB/15.6 INCH FHD 144HZ/WIN 10/ĐEN) (2020)	https://www.hanoicomputer.vn/laptop-msi-gaming-bravo-15-a4dcr-270vn-den-2020
LAPTOP ACER ASPIRE 5 A515-56-54PK (NX.A1GSV.002) (I5 1135G7/8GB RAM/512GB SSD/15.6 INCH FHD/WIN10/BẠC)	https://www.hanoicomputer.vn/laptop-acer-aspire-a515-56-54pk-nx-a1gsv-002-bac
LAPTOP ACER ASPIRE 5 A514-54-540F (NX.A28SV.005) (I5 1135G7/8GB RAM/512GB SSD/14.0 INCH FHD/WIN10/BẠC)	https://www.hanoicomputer.vn/laptop-acer-aspire-a514-54-540f-nx-a28sv-005-bac
LAPTOP DELL VOSTRO 5402 (P130G002V5402A) (I5 1135G7/ 8GB RAM/256GB SSD/MX330 2G/14.0 INCH FHD/WIN10/XÁM)	https://www.hanoicomputer.vn/laptop-dell-vostro-5402-v5402a-xam
LAPTOP DELL VOSTRO 3405 (V4R53500U001W) (R5 3500U 4GB RAM/256GB SSD/14.0 INCH FHD/WIN10/ĐEN)	https://www.hanoicomputer.vn/laptop-dell-vostro-3405-v4r53500u001w-den
LAPTOP DELL VOSTRO 3405 (V4R53500U003W) (R5 3500U 8GB RAM/512GB SSD/14.0 INCH FHD/WIN10/ĐEN)	https://www.hanoicomputer.vn/laptop-dell-vostro-3405-v4r53500u003w-den
LAPTOP DELL INSPIRON 7306 (N3I5202W) (I5 1135G7 8GB RAM/512GB SSD/13.3 INCH FHD 300NITS TOUCH/BÚT CẢM ỨNG/WIN10/ĐEN)	https://www.hanoicomputer.vn/laptop-dell-inspiron-7306-n3i5202w-den
APPLE MACBOOK AIR 13 (MGN63SA/A) (APPLE M1/8GB RAM/256GB SSD/13.3 INCH IPS/MAC OS/XÁM) (NEW)	https://www.hanoicomputer.vn/apple-macbook-air-13-mgn63sa-a-xam-new
APPLE MACBOOK AIR 13 (MGN93SA/A) (APPLE M1/8GB RAM/256GB SSD/13.3 INCH IPS/MAC OS/BẠC) (NEW)	https://www.hanoicomputer.vn/apple-macbook-air-13-mgn93sa-a-bac-new
APPLE MACBOOK AIR 13 (MGND3SA/A) (APPLE M1/8GB RAM/256GB SSD/13.3 INCH IPS/MAC OS/VÀNG) (NEW)	https://www.hanoicomputer.vn/apple-macbook-air-13-mgnd3sa-a-vang-new
APPLE MACBOOK AIR 13 (MGN73SA/A) (APPLE M1/8GB RAM/512GB SSD/13.3 INCH IPS/MAC OS/XÁM) (NEW)	https://www.hanoicomputer.vn/apple-macbook-air-13-mgn73sa-a-xam-new
APPLE MACBOOK PRO 13 TOUCHBAR (MYD82SA/A) (APPLE M1/8GB RAM/256GB SSD/13.3 INCH IPS/MAC OS/XÁM) (NEW)	https://www.hanoicomputer.vn/apple-macbook-pro-13-touchbar-myd82sa-a-xam-new
