Name	Producer	CPU	RAM	GPU	DISK	DISPLAY	Old Price	New Price
"Laptop ACER Nitro 5 Eagle AN515-57-720A NH.QEQSV.004 ( 15.6"" Full HD/ 144Hz/Intel Core i7-11800H/8GB/512GB SSD/NVIDIA GeForce RTX 3050Ti/Windows 11/2.2kg)"	ACER	 Intel Core i7-11800H ( 2.3 GHz - 4.6 GHz / 24MB / 8 nhân, 16 luồng )	 8GB  DDR4  3200MHz ( 2 Khe cắm / Hỗ trợ tối đa 32GB )	 NVIDIA GeForce RTX 3050Ti  4GB  GDDR6 / Intel UHD Graphics 	 512GB SSD M.2 NVMe /	" 15.6"" ( 1920 x 1080 ) Full HD  IPS  144Hz , không cảm ứng , HD webcam "	30490000	29990000
"Laptop Dell Vostro 14 3400 3400-YX51W3 ( 14"" Full HD/Intel Core i5-1135G7/8GB/512GB SSD/NVIDIA GeForce MX330/Windows 10 Home SL 64-bit + Office/1.6kg)"	Dell	 Intel Core i5-1135G7 ( 2.4 GHz - 4.2 GHz / 8MB / 4 nhân, 8 luồng )	 1 x 8GB  DDR4  3200MHz ( 2 Khe cắm 	 NVIDIA GeForce MX330  2GB  GDDR5 / Intel Iris Xe Graphics 	 512GB SSD M.2 NVMe /	" 14"" ( 1920 x 1080 ) Full HD  không cảm ứng , Màn hình chống lóa , HD webcam "	21990000	21290000
"Laptop Dell Vostro 15 3510 3510-7T2YC1 ( 15.6"" Full HD/Intel Core i5-1135G7/8GB/512GB SSD/Windows 10 Home SL 64-bit + Office/1.7kg)"	Dell	 Intel Core i5-1135G7 ( 2.4 GHz - 4.2 GHz / 8MB / 4 nhân, 8 luồng )	 1 x 8GB  DDR4  3200MHz ( 2 Khe cắm 	 Intel Iris Xe Graphics 	 512GB SSD M.2 NVMe /	" 15.6"" ( 1920 x 1080 ) Full HD  không cảm ứng , Màn hình chống lóa , HD webcam "	20990000	20390000
"Laptop Lenovo IdeaPad 5 Pro 16ACH6 82L50082VN ( 16"" WQXGA/ 120Hz/Ryzen 7 5800H/16GB/512GB SSD/NVIDIA GeForce GTX 1650/Windows 10 Home 64-bit/1.9kg)"	Lenovo	 Ryzen 7 5800H ( 3.2 GHz - 4.4 GHz / 16MB / 8 nhân, 16 luồng )	 16GB Onboard  DDR4  3200MHz 	 NVIDIA GeForce GTX 1650  4GB  GDDR6 / AMD Radeon Graphics 	 512GB SSD M.2 NVMe /	" 16"" ( 2560 x 1600 ) WQXGA  IPS  120Hz , không cảm ứng , Màn hình chống lóa , HD webcam "	27990000	26990000
"Laptop ASUS ROG Zephyrus GX703HS-K4016T 90NR06F1-M00290 ( 17.3"" WQHD/ 165Hz/Intel Core i9-11900H/32GB/2TB SSD/NVIDIA GeForce RTX 3080/Windows 10 Home 64-bit/2.6kg)"	ASUS	 Intel Core i9-11900H ( 2.5 GHz - 4.9 GHz / 24MB / 8 nhân, 16 luồng )	 1 x 16GB, 16GB Onboard  DDR4  3200MHz ( 1 Khe cắm / Hỗ trợ tối đa 48GB )	 NVIDIA GeForce RTX 3080  16GB  GDDR6 / Intel UHD Graphics 	 2TB SSD M.2 NVMe /	" 17.3"" ( 2560 x 1440 ) WQHD  IPS  165Hz , không cảm ứng , Màn hình chống lóa , HD webcam "	99990000	98990000
"Laptop Lenovo Ideapad 1 11IGL05 81VT006FVN ( 11.6"" Intel Pentium Silver N5030/4GB/256GB SSD/Windows 11/1.2kg)"	Lenovo	 Intel Pentium Silver N5030 ( 1.1 GHz - 3.1 GHz / 4MB / 4 nhân, 4 luồng )	 1 x 4GB Onboard  DDR4  2400MHz  Không nâng cấp được )	 Intel UHD Graphics 605 	 256GB SSD M.2 NVMe /	" 11.6"" ( 1366 x 768 ) TN  không cảm ứng , Màn hình chống lóa "	9990000	9490000
"Laptop ACER Aspire 7 A715-42G-R1SB NH.QAYSV.005 ( 15.6"" Full HD/ 144Hz/AMD Ryzen 5 5500U/8GB/256GB SSD/NVIDIA GeForce GTX 1650/Windows 10 Home 64-bit/2.1kg)"	ACER	 AMD Ryzen 5 5500U ( 2.1 GHz - 4.0 GHz / 8MB / 6 nhân, 12 luồng )	 1 x 8GB  DDR4  3200MHz ( 2 Khe cắm / Hỗ trợ tối đa 32GB )	 NVIDIA GeForce GTX 1650  4GB  GDDR6 / AMD Radeon Graphics 	 256GB SSD M.2 NVMe /	" 15.6"" ( 1920 x 1080 ) Full HD  IPS  144Hz , không cảm ứng , HD webcam "	20990000	20490000
"Laptop ACER Aspire 7 A715-42G-R6ZR NH.QAYSV.003 ( 15.6"" Full HD/ 144Hz/AMD Ryzen 5 5500U/8GB/512GB SSD/NVIDIA GeForce GTX 1650/Windows 10 Home 64-bit/2.1kg)"	ACER	 AMD Ryzen 5 5500U ( 2.1 GHz - 4.0 GHz / 8MB / 6 nhân, 12 luồng )	 1 x 8GB  DDR4  3200MHz ( 2 Khe cắm / Hỗ trợ tối đa 32GB )	 NVIDIA GeForce GTX 1650  4GB  GDDR6 / AMD Radeon Graphics 	 512GB SSD M.2 NVMe /	" 15.6"" ( 1920 x 1080 ) Full HD  IPS  144Hz , không cảm ứng , HD webcam "	22490000	21990000
"Laptop ACER Predator Helios 300 PH315-54-74RU NH.QC1SV.002 ( 15.6"" Quad HD (2K)/ 165Hz/Intel Core i7-11800H/16GB/512GB SSD/NVIDIA GeForce RTX 3070/Windows 10 Home 64-bit/2.3kg)"	ACER	 Intel Core i7-11800H ( 2.3 GHz - 4.6 GHz / 24MB / 8 nhân, 16 luồng )	 2 x 8GB  DDR4  3200MHz ( 2 Khe cắm / Hỗ trợ tối đa 32GB )	 NVIDIA GeForce RTX 3070  8GB  GDDR6 / Intel UHD Graphics 	 512GB SSD M.2 NVMe /	" 15.6"" ( 2560 x 1440 ) Quad HD (2K)  IPS  165Hz , không cảm ứng , HD webcam "	45990000	44990000
"Laptop HP Envy 13-ba1535TU 4U6M4PA ( 13.3"" Full HD/Intel Core i7-1165G7/8GB/512GB SSD/Windows 10 Home SL 64-bit/1.3kg)"	HP	 Intel Core i7-1165G7 ( 2.8 GHz - 4.7 GHz / 12MB / 4 nhân, 8 luồng )	 8GB Onboard  DDR4  2933MHz 	 Intel Iris Xe Graphics 	 512GB SSD M.2 NVMe /	" 13.3"" ( 1920 x 1080 ) Full HD  IPS  không cảm ứng , HD webcam "	29890000	28990000
"Laptop Dell Alienware M15 R6 (P109F001BBL) P109F001 ( 15.6"" 165Hz/Intel Core i7-11800H/32GB/1TB SSD/NVIDIA GeForce RTX 3060/Windows 10 Home 64-bit/2.7kg)"	Dell	 Intel Core i7-11800H ( 2.3 GHz - 4.6 GHz / 24MB / 8 nhân, 16 luồng )	 2 x 16GB  DDR4  3200MHz ( 2 Khe cắm / Hỗ trợ tối đa 64GB )	 NVIDIA GeForce RTX 3060  6GB  GDDR6 / Intel UHD Graphics 	 1TB SSD M.2 NVMe /	" 15.6"" ( 1920 x 1080 ) WVA  165Hz , không cảm ứng , HD webcam "	61990000	59990000
"Laptop ACER TravelMate P2 TMP214-53-51CU NX.VPNSV.01S ( 14"" Full HD/Intel Core i5-1135G7/8GB/512GB SSD/Windows 10 Pro 64-bit/1.6kg)"	ACER	 Intel Core i5-1135G7 ( 2.4 GHz - 4.2 GHz / 8MB / 4 nhân, 8 luồng )	 1 x 8GB  DDR4  2666MHz ( 2 Khe cắm / Hỗ trợ tối đa 32GB )	 Intel Iris Xe Graphics 	 512GB SSD M.2 NVMe /	" 14"" ( 1920 x 1080 ) Full HD  IPS  không cảm ứng , HD webcam "	24990000	24290000
"Laptop ACER TravelMate P2 TMP214-53-5571 NX.VPNSV.01V ( 14"" Full HD/Intel Core i5-1135G7/16GB/512GB SSD/1.6kg)"	ACER	 Intel Core i5-1135G7 ( 2.4 GHz - 4.2 GHz / 8MB / 4 nhân, 8 luồng )	 1 x 16GB  DDR4  2666MHz ( 2 Khe cắm / Hỗ trợ tối đa 32GB )	 Intel Iris Xe Graphics 	 512GB SSD M.2 NVMe /	" 14"" ( 1920 x 1080 ) Full HD  IPS  không cảm ứng , HD webcam "	21990000	20490000
"Laptop ASUS A515EA-L11171T 90NB0SG1-M17490 ( 15.6"" Full HD/Intel Core i5-1135G7/8GB/512GB SSD/Windows 10 Home 64-bit/1.8kg)"	ASUS	 Intel Core i5-1135G7 ( 2.4 GHz - 4.2 GHz / 8MB / 4 nhân, 8 luồng )	 8GB Onboard  DDR4 ( 1 Khe cắm 	 Intel Iris Xe Graphics 	 512GB SSD M.2 NVMe /	" 15.6"" ( 1920 x 1080 ) Full HD  OLED  không cảm ứng , HD webcam "	20990000	20690000
"Laptop ASUS UX482EA-KA274T 90NB0S41-M05030 ( 14"" Full HD/Intel Core i5-1135G7/8GB/512GB SSD/Windows 10 Home 64-bit/1.63kg)"	ASUS	 Intel Core i5-1135G7 ( 2.4 GHz - 4.2 GHz / 8MB / 4 nhân, 8 luồng )	 8GB Onboard  LPDDR4X 	 Intel Iris Xe Graphics 	 512GB SSD M.2 NVMe /	" 14"" ( 1920 x 1080 ) Full HD  IPS  cảm ứng , Màn hình chống lóa , HD webcam "	32990000	32990000
"Laptop ASUS UX482EA-KA268T 90NB0S41-M05040 ( 14"" Full HD/Intel Core i7-1165G7/16GB/1TB SSD/Windows 10 Home 64-bit/1.63kg)"	ASUS	 Intel Core i7-1165G7 ( 2.8 GHz - 4.7 GHz / 12MB / 4 nhân, 8 luồng )	 16GB Onboard  LPDDR4X 	 Intel Iris Xe Graphics 	 1TB SSD M.2 NVMe /	" 14"" ( 1920 x 1080 ) Full HD  IPS  cảm ứng , Màn hình chống lóa , HD webcam "	39990000	39990000
"Laptop Dell Alienware M15 Ryzen Edition R5 70262921 ( 15.6"" Full HD/ 165Hz/AMD Ryzen 9 5900HX/16GB/1TB SSD/NVIDIA GeForce RTX 3070/Windows 10 Home 64-bit/2.7kg)"	Dell	 AMD Ryzen 9 5900HX ( 3.3 GHz - 4.6 GHz / 16MB / 8 nhân, 16 luồng )	 2 x 8GB  DDR4  3200MHz ( 2 Khe cắm / Hỗ trợ tối đa 32GB )	 NVIDIA GeForce RTX 3070  8GB  GDDR6 / AMD Radeon Graphics 	 1TB SSD M.2 NVMe /	" 15.6"" ( 1920 x 1080 ) Full HD  WVA  165Hz , không cảm ứng , HD webcam "	58990000	56990000
"Laptop Dell Alienware M15 R6 70262923 ( 15.6"" Quad HD (2K)/ 240Hz/Intel Core i7-11800H/32GB/1TB SSD/NVIDIA GeForce RTX 3070/Windows 10 Home 64-bit/2.7kg)"	Dell	 Intel Core i7-11800H ( 2.3 GHz - 4.6 GHz / 24MB / 8 nhân, 16 luồng )	 2 x 16GB  DDR4  3200MHz ( 2 Khe cắm / Hỗ trợ tối đa 64GB )	 NVIDIA GeForce RTX 3070  8GB  GDDR6 / Intel UHD Graphics 	 1TB SSD M.2 NVMe /	" 15.6"" ( 2560 x 1440 ) Quad HD (2K)  WVA  240Hz , không cảm ứng , HD webcam "	66490000	64490000
"Laptop ACER Nitro 5 AN515-57-56S5 NH.QEKSV.001 ( 15.6"" Full HD/ 144Hz/Intel Core i5-11400H/8GB/512GB SSD/NVIDIA GeForce GTX 1650/Windows 11 Home/2.2kg)"	ACER	 Intel Core i5-11400H ( 2.7 GHz - 4.5 GHz / 12MB / 6 nhân, 12 luồng )	 1 x 8GB  DDR4  3200MHz ( 2 Khe cắm / Hỗ trợ tối đa 32GB )	 NVIDIA GeForce GTX 1650  4GB  GDDR6 / Intel UHD Graphics 	 512GB SSD M.2 NVMe /	" 15.6"" ( 1920 x 1080 ) Full HD  IPS  144Hz , không cảm ứng , HD webcam "	24990000	21990000
