Name	Producer	CPU	RAM	DISK	GPU	DISPLAY	Old Price	New Price
"Microsoft Surface Pro 7 (PVT-00015/RQQ-00001) (i7 1065G7/16GB RAM/256GB SSD/12.3""/Win10 Home/Đen)(Bảo hành tại HACOM)"	Microsoft Surface	Intel Core i7 1065G7	16GB RAM	256GB SSD	Onboard	"12.3"" PixelSense"	48989000	34999000
"Microsoft Surface Pro 7 (PUV-00016/PUV-00021/RQP-00001) (i5 1035G4/8GB RAM/256GB SSD/12.3""/Win10 Home/Đen)(Bảo hành tại HACOM)"	Microsoft Surface	Intel Core i5 1035G4	8GB	256GB SSD	Onboard	12.3 inch	29289000	24999000
"Microsoft Surface Pro 7 (VDV-00001/VDV-0007/QDW-00001) (i5 1035G4/8GB RAM/128GB SSD/12.3""/Win10 Home/Bạc)(Bảo hành tại HACOM)"	Microsoft Surface	Intel® Core™ i5-1035G4	8 GB				24239000	21999000
"Microsoft Surface Pro 7 (i5 1035G4/8GB RAM/256GB SSD/12.3""/Win10 Home/Bạc) (Bảo hành tại HACOM)"	Microsoft Surface	Intel Core i5 1035G4	8GB RAM	256GB SSD	Onboard	"12.3"""	29289000	24999000
Laptop MSI Prestige 15 A11SCX (209VN) (i7 1185G7/16GB/512GB SSD/1650 Max Q/15.6FHD/Win10/Xám)	Laptop MSI	Intel Core i7 1185G7	16GB	512GB SSD	NVIDIA GTX 1650 Max Q 4GB	15.6 inch FHD	35339000	34329000
Surface Laptop Go (THH-00035)(i5 1035G1/8GB RAM/128GB SSD/12.4 Cảm ứng/Win 10/Vàng)(Bảo hành tại HACOM)	Microsoft Surface	Intel Core i5 1035G1	8GB	128GB SSD	Onboard	12.4 inch cảm ứng	24239000	19189000
Surface Laptop Go (THH-00024) (i5 1035G1/8GB RAM/128GB SSD/12.4 Cảm ứng/Win 10/Xanh)(Bảo hành tại HACOM)	Microsoft Surface	Intel Core i5 1035G1	8GB	128GB SSD	Onboard	12.4 inch cảm ứng	24239000	18999000
Surface Laptop Go (THH-00001)(i5 1035G1/8GB RAM/128GB SSD/12.4 Cảm ứng/Win 10/Bạc)(Bảo hành tại HACOM)	Microsoft Surface	Intel Core i5 1035G1	8GB	128GB SSD	Onboard	12.4 inch cảm ứng	24239000	18999000
Surface Laptop Go (THJ-00035) (i5 1035G1/8GB RAM/256GB SSD/12.4 Cảm ứng/Win 10/Vàng)(Bảo hành tại HACOM)	Microsoft Surface	Intel Core i5 1035G1	8GB	256GB SSD	Onboard	12.4 inch cảm ứng	27269000	21499000
Surface Laptop Go (THJ-00001)(i5 1035G1/8GB RAM/256GB SSD/12.4 Cảm ứng/Win 10/Bạc)(Bảo hành tại HACOM)	Microsoft Surface	Intel Core i5 1035G1	8GB	256GB SSD	Onboard	12.4 inch cảm ứng	27269000	21499000
