Name	Producer	CPU	RAM	DISK	GPU	DISPLAY	Old Price	New Price
Laptop Asus Gaming TUF FX516PE-HN005T (i7 11370H/8GB RAM/512GB SSD/15.6 FHD 144hz/RTX 3050Ti 4GB/Win10/Xám)	Laptop Asus	Intel Core i7 11370H	8GB	512GB SSD	NVIDIA RTX 3050Ti 4GB	15.6 inch FHD 144hz	30299000	28599000
Laptop Dell Inspiron 3501 (70243203) (i5 1135G7 4GB RAM/256GB SSD/MX330 2G/15.6 inch FHD/Win10/Đen)	Laptop Dell	Intel Core i5 1135G7	4GB	256GB SSD	Nvidia MX330 2GB	15.6 inch FHD	19499000	18799000
Laptop MSI Gaming Katana GF76 (11UC-096VN) (i7 11800H 8GB RAM/512GB SSD/RTX3050 4GB/17.3 inch FHD 144Hz/Win10/Đen) (2021)	Laptop MSI	Intel Core i7 11800H	8GB	512GB SSD	NVIDIA RTX3050 4GB	17.3 inch FHD 144Hz	30799000	29689000
Laptop HP ProBook 430 G8 (2H0P0PA) (i7 1165G7/8GB RAM/512GB SSD /13.3 FHD/FP/Win/Bạc)	Laptop HP	Intel Core i7 1165G7	8GB	512GB SSD(không còn khe trống, nâng cấp thay thế)	Onboard	13.3 inch FHD	25399000	25299000
Laptop Asus VivoBook TP470EA-EC027T(i3 1115G4/4GB RAM/512GB SSD/14 FHD Touch/Win10/Xoay/Bạc)	Laptop Asus	Intel Core i3 1115G4	4GB	512GB SSD	Onboard	14 inch FHD cảm ứng	16099000	15999000
Laptop Asus Gaming TUF FA706IU-HX406T (R7 4800H/8GB RAM/512GB SSD/17.3 FHD 144Hz /GTX 1660Ti 6GB/Win10/Xám/Balo)	Laptop Asus	AMD Ryzen R7 4800H	8GB	512GB SSD	NVIDIA GTX 1660Ti 6GB	17.3 FHD 144hz	28279000	27999000
Máy tính xách tay MSI Gaming GP76 Leopard (11UG-280VN) (i7 11800H/16GBRAM/1TB SSD/RTX3070 8G/17.3 inch FHD 240Hz/win 10) (2021)	Laptop MSI	Intel Core i7 11800H	16GB	1TB SSD	RTX3070 8G	17.3 inch FHD 240Hz	53489000	51989000
Laptop Asus Gaming ROG Strix G713QM-K4183T (Ryzen 9 5900HX/2*8GB RAM/512B SSD/17.3 WQHD 165hz/RTX 3060 6GB/Win10/Balo/Xám)	Laptop Asus	AMD Ryzen 9 5900HX	2*8GB	512B SSD	NVIDIA RTX 3060 6GB	17.3 WQHD 165hz	44439000	42999000
Laptop MSI Gaming Bravo 15 (B5DD-028VN) (R7-5800H/8GB RAM/512GB SSD/RX5500M 4GB/15.6 inch FHD 144Hz/Win 10/Đen) (2021)	Laptop MSI	AMD Ryzen 7 5800H	8GB	512GB SSD	Radeon RX5500M 4GB	15.6 inch FHD 144hz	None	24899000
Laptop MSI Gaming Bravo 15 (B5DD-027VN) (R5-5600H/8GB RAM/512GB SSD/RX5500M 4GB/15.6 inch FHD 144Hz/Win 10/Đen) (2021)	Laptop MSI	AMD Ryzen R5-5600H	8GB	512GB SSD	Radeon RX5500M 4GB	15.6 inch FHD 144hz	None	21999000
Laptop Asus ZenBook UX425EA-KI429T (i5 1135G7/8GB RAM/512GB SSD/14 FHD/Win10/Xám)	Laptop Asus	Intel Core i5 1135G7	8GB	512GB SSD	Onboard	14 inch FHD	24949000	23999000
Laptop Dell Inspiron 5505 (N5R74700U) (R7 4700U 8GB RAM/512GB SSD/15.6 inch FHD/Win10/Bạc)	Laptop Dell	AMD R7 4700U	8GB	512GB SSD	Onboard	15.6 inch FHD	22719000	22419000
Laptop Asus Gaming TUF FX506HC-HN002T (i5 11400H/8GB RAM/512GB SSD/15.6 FHD 144hz/RTX 3050 4GB/Win10/Xám)	Laptop Asus	Intel Core i5 11400H	8GB	512GB SSD	NVIDIA RTX 3050 4GB	15.6 FHD 144hz	25249000	25999000
Laptop Gigabyte Gaming G5 (MD-5 51S1123SH) (i5 11400H /16GB Ram/512GB SSD/RTX3050Ti 4G/15.6 inch FHD 144Hz/Win 10/Đen) (2021)	Laptop Gigabyte	Intel Core i5 11400H	16GB	512GB SSD	NVIDIA RTX3050Ti 4G	15.6 inch FHD 144Hz	32309000	29389000
Laptop Gigabyte Gaming AORUS 15P (YD -73S1224GH) (i7 11800H /16GB Ram/1TB SSD/RTX3080 8G/15.6 inch FHD 240Hz/Win 10/Đen/Balo Aorus) (2021)	Laptop Gigabyte	Intel Core i7 11800H	16GB	1TB SSD	NVIDIA RTX3080 8G	15.6 inch FHD 240Hz	None	73989000
Laptop Gigabyte Gaming AERO 15 OLED (KD-72S1623GH) (i7 11800H /16GB Ram/512GB SSD/RTX3060 6G/15.6 inch UHD AMOLED/Win 10/Đen/Balo Aorus) (2021)	Laptop Gigabyte	Intel Core i7 11800H	16GB	512GB SSD	NVIDIA RTX3060 6G	15.6 inch UHD AMOLED	None	48999000
Laptop Asus Gaming ROG Strix G15 G513QC-HN015T (Ryzen 7 5800H/8GB RAM/512GB SSD/15.6 FHD 144hz/RTX 3050 4GB/Win10/Xám)	Laptop Asus	AMD Ryzen 7 5800H	8GB(trống 1 khe tram)	512GB SSD (trống 1 khe M.2 NVMe™)	RTX 3050 4GB	15.6 inch FHD 144hz	29999000	28999000
Laptop MSI Gaming GE76 Raider 11UH (I9 11980HK/64GB RAM/ 2TB SSD/RTX3080 16G/17.3 inch UHD 120Hz/ Win10) (2021)	Laptop MSI	Intel Core I9 11980HK	64GB	2TB SSD	NVIDIA RTX3080 16G	17.3 inch UHD 120Hz	None	108989000
Laptop MSI Gaming GE66 Raider (11UH-211VN) (i7 11800H/32GB RAM/2TB SSD/RTX3080 16G/15.6 inch QHD 240Hz/Win10) (2021)	Laptop MSI	Intel Core i7 11800H	32GB	2TB SSD	NVIDIA RTX3080 16G	15.6 inch QHD 240Hz	77999000	75999000
Laptop MSI Gaming GE66 Raider (11UG-210VN) (i7 11800H/16GB RAM/2TB SSD/RTX3070 8G/15.6 inch FHD 300Hz/Win10) (2021)	Laptop MSI	Intel Core i7 11800H	16GB	2TB SSD	NVIDIA RTX3070 8G	15.6 inch FHD 300Hz	None	60589000
Laptop MSI Gaming GS66 Stealth (11UG-210VN) (i7 11800H 32GB RAM/2TB SSD/RTX3070 8G/15.6 inch FHD 300Hz/Win 10) (2021)	Laptop MSI	Intel Core i7 11800H	32GB	2TB SSD	NVIDIA RTX3070 8G	15.6 inch FHD 300Hz	65499000	63499000
Laptop MSI Modern 14 (B5M-014VN) (R5 5500U/8GB RAM/512GB SSD/14.0 inch FHD/Win10/Xám) (2021)	Laptop MSI	AMD R5 5500U	8GB	512GB SSD	Onboard	14 inch FHD	17379000	16799000
Laptop MSI Modern 15 (A5M-048VN) (R5 5500U/8GB RAM/512GB SSD/15.6 inch FHD/Win10/Xám) (2021)	Laptop MSI	AMD R5 5500U	8GB	512GB SSD	Onboard	15.6 inch FHD	18269000	17989000
Laptop MSI Summit E13 Flip Evo (A11MT-211VN) (i7 1185G7/16GB RAM/1TB SSD/13.4 inch FHD Touch/Win10/Bút MSI/Đen) (2021)	Laptop MSI	Intel Core i7 1185G7	16GB	1TB SSD	Onboard	13.4 inch FHD cảm ứng + bút MSI	40299000	38999000
Laptop Dell Latitude 3420 (42LT342002) (i5 1135G7 8GB RAM/1TB HDD/14.0 inch HD/Ubuntu/Đen) (2021)	Laptop Dell	Intel Core i5 1135G7	8GB	1TB HDD	Onboard	14.0 inch HD	19179000	18489000
Laptop HP 240 G8 (3D0A9PA) (i5 1135G7/8GB RAM/256GB SSD/14 FHD/Dos/Bạc)	Laptop HP	Intel Core i5 1135G7	8GB (2*4GB)	256GB SSD (có slot gắn ổ 2.5)	Onboard	14.0 inch FHD	16869000	17069000
Laptop Acer Gaming Nitro 5 Eagle AN515-57-51G6 (NH.QD8SV.002) (i5 11400H/8GB Ram/512GB SSD/RTX3050 4G/15.6 inch FHD 144Hz/Win 10/Đen) (2021)	Laptop Acer	Intel core i5 11400H	8GB	512GB SSD	NVIDIA RTX3050 4G	15.6 inch FHD 144Hz	25999000	25499000
Laptop Acer Gaming Nitro 5 Eagle AN515-57-74NU (NH.QD9SV.001) (i7 11800H/8GB Ram/ 512GB SSD/RTX3050Ti 4G/15.6 inch FHD 144Hz/Win 10/Đen) (2021)	Laptop Acer	Intel core i7 11800H	8GB	512GB SSD	NVIDIA RTX3050Ti 4G	15.6 inch FHD 144Hz	30299000	28999000
Laptop HP 240 G8 (3D0F0PA) (i7 1165G7/8GB RAM/512GB SSD/14 FHD/Dos/Bạc)	Laptop HP	Intel Core i7 1165G7	8GB (Còn 1 khe ram trống)	512GB SSD (có slot gắn ổ 2.5)	Onboard	14.0 inch FHD	21209000	20499000
Laptop Acer Swift 3 SF314-511-56G1 (NX.ABLSV.002) (i5-1135G7/16GB RAM/512GB SSD/14.0 inch FHD IPS/Win10/Bạc) (2021)	Laptop Acer	Intel Core i5 1135G7	16GB	512GB SSD	Onboard	14 inch FHD IPS	21199000	20799000
Laptop Asus Gaming TUF FX506HM-HN018T (i5 11400H/8GB RAM/512GB SSD/15.6 FHD 144hz/RTX 3060 6GB/Win10/Xám)	Laptop Asus	Intel Core i5 11400H	8GB	512GB SSD	NVIDIA RTX 3060 6GB	15.6 FHD 144hz	31309000	28999000
Laptop MSI Gaming GF63 Thin (10SC-468VN) (i5 10500H 8GB RAM/512GB SSD/GTX1650 Max Q 4G/15.6 inch FHD 144Hz/Win10/Đen) (2021)	Laptop MSI	Intel Core i5 10500H	8GB	512GB SSD	NVIDIA GTX1650 Max Q 4G	15.6 inch FHD 144Hz	21999000	21289000
Laptop MSI Gaming Katana GF66 (11UC-641VN) (i7 11800H 8GB RAM/512GB SSD/RTX3050 4GB/15.6 inch FHD 144Hz/Win10/Đen) (2021)	Laptop MSI	Intel Core i7 11800H	8GB	512GB SSD	NVIDIA RTX3050 4GB	15.6 inch FHD 144Hz	29999000	28899000
Laptop MSI Modern 14 B11MO-460VN (i7 1165G7/8GB RAM/512GB SSD/14.0 inch FHD 72% NTSC/ Win10/Xám) (2021)	Laptop MSI	Intel Core i7 1165G7	8GB (còn 1 khe trống)	512GB SSD (Update thay thế)	Onboard	14.0 inch FHD 72% NTSC	None	21799000
Laptop Acer Gaming Nitro 5 Eagle AN515-57-77KU (NH.QDGSV.001) (i7 11800H/16GB Ram/512GB SSD/RTX3060 6G/15.6 inch QHD 165Hz/Win 10/Đen) (2021)	Laptop Acer	Intel core i7 11800H	16GB	512GB SSD	NVIDIA RTX3060 6G	15.6 inch QHD 165Hz	None	38699000
Laptop Dell Inspiron 5310 (N3I3116W) (i3 1125G4 8GBRAM/256GB SSD/13.3 inch FHD/Win10/Bạc)	Laptop Dell	Intel Core i3 1125G4	8GB	256GB SSD	Onboard	13.3 inch FHD	17669000	16999000
Laptop Dell Latitude 3420 (L3420I3SSD) (i3 1115G4 8GB RAM/256GB SSD/14.0 inch/Fedora/Đen) (2021)	Laptop Dell	Intel Core i3 1115G4	8GB	256GB SSD	Onboard	14.0 inch HD	17499000	16299000
Laptop HP Pavilion 15-eg0505TU (46M02PA) ( i5-1135G7/8GB RAM/512GB SSD/15.6 FHD/Win10/Vàng)	Laptop HP	Intel Core i5-1135G7	8GB (2x4GB)	512GB SSD (Nâng cấp thay thế)	Onboard	"15.6"" FHD"	20049000	19999000
Laptop Asus VivoBook S433EA-AM885T (i7 1165G7/16GB RAM/512GB SSD/14 FHD/Win10/Numpad/Xám đen)	Laptop Asus	Intel Core i7 1165G7	16GB	512 GB SSD	Onboard	14 inch FHD	24039000	23999000
Laptop HP Pavilion 15-eg0507TU (46M06PA) ( i5-1135G7/8GB RAM/256GB SSD/15.6 FHD/Win10/Vàng)	Laptop HP	Intel Core i5-1135G7	8GB (trống 1 khe ram)	256GB SSD (Nâng cấp thay thế)	Onboard	"15.6"" FHD"	19049000	18999000
Laptop Dell Inspiron 5410 2 in 1 (N4I5147W) (i5 1135G7/8GB RAM/ 512GB SSD/MX350 2GB/14.0 inch FHD Touch/Win 10/Bạc)	Laptop Dell	Intel Core i5 1135G7	8GB (trống 1 khe)	512GB SSD  (không có khe trống, nâng cấp thay thế thay thế)	Nvidia MX350 2GB	14 inch FHD Touch	26249000	24999000
Laptop Asus X415EA-EK675T (i3 1115G4/4GB RAM/256GB SSD/14 FHD/Win 10/Bạc)	Laptop Asus	Intel Core i3 1115G4	4GB	256GB SSD	Onboard	14 inch FHD	14199000	13699000
Laptop Acer Gaming Aspire 7 A715-75G-56ZL (NH.Q97SV.001) (i5 10300H/8GBRAM/512GB SSD/GTX1650 4G/15.6 inch FHD IPS/Win10/Đen)	Laptop Acer	Intel core i5 10300H	8GB	512GB SSD	NVIDIA  GTX1650 4G	15.6 inch FHD	21199000	20899000
Laptop Asus X515EA-BQ1006T (i3 1115G4/4GB RAM/512GB SSD/15.6 FHD/Win 10/Bạc)	Laptop Asus	Intel core i3 1115G4	4GB	512GB SSD	Onboard	15.6 inch FHD	14699000	14299000
Laptop HP Pavilion 15-eg0539TU (4P5G6PA) ( i5-1135G7/8GB RAM/512GB SSD/15.6 FHD/Win10/Bạc)	Laptop HP	Intel Core i5-1135G7	8GB	512GB SSD (Nâng cấp thay thế)	Onboard	"15.6"" FHD"	20049000	19999000
Laptop HP Pavilion 15-eg0513TU (46M12PA) ( i3-1125G4/4GB RAM/256GB SSD/15.6 FHD/Win10/Vàng)	Laptop HP	Intel Core i3-1125G4	4GB (trống 1 khe ram)	256GB SSD (Nâng cấp thay thế)	Onboard	"15.6"" FHD"	15149000	14999000
Laptop HP Pavilion 15-eg0509TU (46M08PA) ( i3-1125G4/4GB RAM/512GB SSD/15.6 FHD/Win10/Vàng)	Laptop HP	Intel Core i3-1125G4	4GB (trống 1 khe ram)	512GB SSD (Nâng cấp thay thế)	Onboard	"15.6"" FHD"	16159000	15799000
Laptop Dell Latitude 3520 (70251594) (i5 1135G7 8GB RAM/256GB SSD/15.6 inch FHD/Fedora/Đen) (2021)	Laptop Dell	Intel Core i5 1135G7	8GB	256GB SSD	Onboard	15.6 inch FHD	21199000	19699000
Laptop HP 240 G8 (3D0E1PA) (i5 1135G7/4GB RAM/256GB SSD/14 FHD/FP/Win10/Bạc)	Laptop HP	Intel Core i5 1135G7	4GB (còn 1 khe trống)	256GB SSD (có slot gắn ổ 2.5)	Onboard	14.0 inch FHD	19199000	17999000
Laptop Dell Vostro 5301 (YV5WY1) (i5 11300H 8GB RAM/512GBSSD/13.3 inch FHD/Win10/Xám)	Laptop Dell	Intel Core i5 11300H	8GB	512GB SSD	Onboard	13.3 inch FHD	None	23219000
Laptop MSI Modern 14 (B11MO-682VN) (i3 1115G4/8GB RAM/256GB SSD/14.0inch FHD 72% NTSC/Win10/Xanh)	Laptop MSI	Intel Core i3 1115G4	8GB(còn 1 khe trống)	256GB SSD (update thay thế)	Onboard	14.0inch FHD 72% NTSC	15039000	14799000
Laptop MSI Modern 14 (B11SB-626VN) (i5-1155G7/8GB RAM/512GBSSD/MX450 2GB/14 inch FHD 72% NTSC/Win 10/Xanh)	Laptop MSI	Intel Core i5-1155G7	8GB (còn 1 khe trống)	512GB SSD (Update thay thế)	Nvidia MX450 2GB	14.0inch FHD 72% NTSC	23219000	22489000
Laptop Asus D515DA-EJ845T (R3 3250U/4GB RAM/512GB SSD/15.6 FHD/Win 10/Bạc)	Laptop Asus	AMD R3 3250U	4GB	512GB SSD	Onboard	15.6 inch FHD	13199000	12999000
Laptop MSI Gaming GF65 Thin (10UE-286VN) ( i5 10500H 16GB RAM/512GBSSD/RTX 3060 6G/15.6 inch FHD 144Hz/Win10/Đen) (2021)	Laptop MSI	Intel i5 10500H	16GB	512GB SSD	NVIDIA RTX 3060 6GB	15.6 inch FHD 144Hz	29489000	27999000
Laptop Acer Gaming Predator Helios 300 PH315-54-75YD (NH.QC2SV.002) (i7 11800H/16GB Ram/512GB SSD/RTX3060 6G/15.6 inch QHD 165Hz/Win 10/Đen) (2021)	Laptop Acer	Intel Core i7 11800H	16GB	512GB SSD	Nvidia RTX3060 6G	15.6 inch QHD 165Hz	39989000	38999000
Laptop Acer Aspire 3 A315-58-3939 (NX.ADDSV.001) (i3 1115G4/4GBRAM/256GB SSD/15.6 inch FHD/Win 10/bạc)	Laptop Acer	Intel Core i3 1115G4	4GB	256GB SSD	Onboard	15.6 inch FHD	12989000	12899000
Laptop Dell XPS 13 9310 2 in 1 (70260716/70262931) (i5 1135G7/8GB RAM/256GB SSD/13.4 inch FHD Touch/Win10/Bạc)	Laptop Dell	Intel Core i5 1135G7	8GB	256GB SSD	Onboard	13.4 inch FHD (16	41989000	41989000
Laptop Dell Vostro 5410 (V4I5014W) (i5 11300H/8GB RAM/512GB SSD/14.0 inch FHD /Win10/Office/Xám) (2021)	Laptop Dell	Intel Core i5 11300H	8GB (còn trống 1 khe)	512GB SSD (không có khe trống, nâng cấp thay thế thay thế)	Onboard	14 inch FHD	22989000	22489000
Laptop Dell Inspiron 7400 (N4I5134W) (i5 1135G7/16GB RAM/512GB SSD/MX350GB 2G/14.5 inch QHD 100%sGRB /Win10/Bạc) (2021)	Laptop Dell	Intel Core i5 1135G7	16GB	512GB SSD	Nvidia MX350GB 2G	14.5 inch QHD 100%sGRB	30489000	28999000
Laptop Asus X415EA-EB640T (i5 1135G7/4GB RAM/512GB SSD/14 FHD/Win 10/Bạc)	Laptop Asus	Intel Core i5 1135G7	4GB	512GB SSD	Onboard	14 inch FHD	17599000	17499000
Laptop Asus Gaming TUF FA506QR-AZ003T (R7 5800H/16GB RAM/512GB SSD/15.6 FHD 240Hz /RTX 3070 8GB/Win10/Xám)	Laptop Asus	AMD R7 5800H	16GB	512GB SSD	RTX 3070 8GB	15.6 FHD 240Hz	40999000	37999000
Laptop Dell Latitude 7420 (42LT742000) (i5 1135G7 8GB RAM/256GB SSD/14.0 inch FHD 400nits/Ubuntu/Đen/Vỏ nhôm) (2021)	Laptop Dell	Intel Core i5 1135G7	8GB onboard (không thể nâng cấp)	256GB SSD (hỗ trợ nâng cấp thay thế tối đa 2TB)	Onboard	14.0 inch FHD	34689000	33689000
Laptop Dell Latitude 3410 (L3410I5SSD) (i5 10210U 8GB RAM/256GB SSD/14.0 inch Full HD/Fedora/Xám)	Laptop Dell	Intel Core i5 10210U	8GB (còn trống 1 khe ram)	256GB SSD (Nâng cấp thay thế tối đa 2TB)	Onboard	14 inch FHD	19489000	18989000
Laptop Asus Gaming ROG Strix G513IH-HN015T (Ryzen 7 4800H/8GB RAM/512GB SSD/15.6 FHD 144hz/GTX1650 4GB/Win10/Xám)	Laptop Asus	AMD Ryzen 7 4800H	8GB(trống 1 khe tram)	512GB SSD (trống 1 khe M.2 NVMe™)	NVIDIA GTX1650 4GB	15.6 FHD 144hz	24099000	23599000
Laptop Asus X415EA-EB548T (i5 1135G7/4GB RAM/512GB SSD/14 FHD/Win 10/Xám)	Laptop Asus	Intel Core i5 1135G7	4GB	512GB SSD	Onboard	14 inch FHD	17699000	17499000
Laptop MSI Modern 14 (B10MW-646VN) (i5 10210U/8GB RAM/512GB SSD/14.0inch FHD/Win10/Xám/Vỏ nhôm)	Laptop MSI	Intel Core i5 10210U	8GB (không còn khe trống, update thay thế)	512GB SSD (không còn khe trống, update thay thế)	Onboard	14 inch FHD IPS 45%NTSC	17689000	17289000
Laptop Asus VivoBook M513UA-L1221T (R5 5500U/8GB RAM/512GB SSD/15.6 FHD/Win 10/Bạc)	Laptop Asus	AMD R5 5500U	8GB	512GB SSD	Onboard	15.6 inch FHD	19499000	18999000
Laptop Asus VivoBook M513UA-L1240T (R7 5700U/8GB RAM/512GB SSD/15.6 FHD/Win 10/Bạc)	Laptop Asus	AMD R7 5700U	8GB (Nâng cấp thay thé)	512GB SSD (Có slot gắn ổ 2,5)	Onboard	15.6 inch FHD	21199000	20999000
Laptop Asus Gaming  ROG Flow 13 GV301QC-K6052T (R9 5900HS/16GB RAM/512GB SSD/13.4 Touch /RTX3050 4GB/Win10/Bút/Túi/Đen)	Laptop Asus	AMD R9 5900HS	16GB	512GB SSD	NVIDIA RTX3050 4GB	13.4 inch FHD cảm ứng	39999000	38499000
Laptop Asus VivoBook TM420IA-EC227T(R7 4700U/8GB RAM/512GB SSD/14 FHD Touch/Win10/Xoay/Đen)	Laptop Asus	AMD R7 4700U	8GB	512 GB SSD	Onboard	14 inch FHD Touch	19999000	19899000
Laptop MSI Modern 15 (A11M-684VN) (i5 1155G7/8GB RAM/512GB SSD/15.6inch FHD/Win10/Bạc) (2021)	Laptop MSI	Intel Core i5 1155G7	8GB	512GB SSD	Onboard	15.6 inch FHD	19499000	18989000
Laptop MSI Modern 15 (A11MU-678VN) (i5 1155G7/8GB RAM/512GB SSD/15.6inch FHD/Win10/Xám) (2021)	Laptop MSI	Intel Core i5 1155G7	8GB	512GB SSD	Onboard	15.6 inch FHD	19499000	18999000
Laptop HP 340s G7 (36A37PA) (i7 1065G7/8GB RAM/512GB SSD/14 FHD/Win10/Xám)	Laptop HP	Intel Core i7 1065G7	8GB (còn 1 khe ram trống)	512GB SSD (ko có slot trống, nâng cấp thay thế)	Onboard	14 inch FHD	21699000	21499000
Laptop HP Pavilion 15-eg0540TU (4P5G7PA) (i5-1135G7/8GB RAM/256GB SSD/15.6 FHD/Win10/Bạc)	Laptop HP	Intel Core i5-1135G7	8GB (trống 1 khe ram)	256GB SSD (Nâng cấp thay thế)	Onboard	"15.6"" FHD"	19199000	18999000
Laptop Asus Gaming TUF FX506HCB-HN139T (i5 11400H/8GB RAM/512GB SSD/15.6 FHD 144hz/RTX 3050 4GB/Win10/Xám)	Laptop Asus	Intel Core i5 11400H	8GB	512GB SSD	NVIDIA RTX 3050 4GB	15.6 FHD 144hz	25999000	25499000
Laptop Asus Gaming TUF FA506QM-HN016T (R7 5800H/16GB RAM/512GB SSD/15.6 FHD 144hz/RTX 3060 6GB/Win10/Xám)	Laptop Asus	AMD R7 5800H	16GB	512GB SSD	NVIDIA RTX 3060 6GB	15.6 FHD 144hz	32999000	31699000
Laptop Asus Gaming ROG Strix G713QR-K4148T (R9 5900HX/16GB RAM/1TB SSD/17.3 FHD 165hz/RTX 3070 8GB/Win10/Balo/Xám)	Laptop Asus	AMD Ryzen 9 5900HX	16GB (2*8)	1TB SSD	NVIDIA RTX 3070 8GB	17.3 FHD 165hz	51999000	50999000
Laptop Acer Swift 3 SF314-511-58TH (NX.ATQSV.001) (i5-1135G7/16GB RAM/512GB SSD/14.0 inch FHD IPS 100% sRGB/Win10/Xanh) (2021)	Laptop Acer	Intel Core i5 1135G7	16GB	512GB SSD	Onboard	14.0 inch FHD IPS 100% sRGB	23999000	23699000
Laptop Acer Swift X SFX14-41G-R61A (NX.AU3SV.001) (R5 5600U/16GB RAM/1TB SSD/RTX3050Ti 4G/14.0 inch FHD IPS/Win10/Vàng) (2021)	Laptop Acer	AMD R5 5600U	16GB (không thể nâng cấp)	1TB SSD (còn trống 1 khe m2 nvme)	NVIDIA RTX3050Ti 4G	14.0 inch FHD IPS	29989000	29789000
Laptop MSI Modern 14 (B10MW-647VN) (i7 10510U/8GB RAM/512GB SSD/14.0 inch FHD/Win10/Xám)	Laptop MSI	Intel Core i7 10510U	8GB (không còn khe trống, update thay thế)	512GB SSD (không còn khe trống, update thay thế)	Onboard	14 inch FHD	19989000	19789000
Laptop MSI Prestige 15 (A11SC-037VN) (i7 1185G7/16G RAM/512GB SSD/15.6 inch FHD 100%sRGB /GTX1650 4G Max Q/Win10/Xám) (2021)	Laptop MSI	Intel Core i7 1185G7	16GB	512GB SSD	NVIDIA GTX1650 4G Max Q	15.6 inch FHD 100%sRGB	34989000	34689000
Laptop MSI Modern 14 (B11MOU-851VN) (i3 1115G4/8GB RAM/256GB SSD/14.0 inch FHD/Win10/Xám)	Laptop MSI	Intel Core i3 1115G4	8GB (còn 1 khe trống)	256GB SSD (update thay thế)	Onboard	14 inch FHD	15299000	14799000
Laptop HP Gaming Omen 16-b0142TX (4Y0Z8PA) (i5 11400H/16GB RAM/1TB SSD+32GB/16.1 FHD/RTX 3050Ti 4Gb/Win10/Đen)	Laptop HP	Intel Core 5 11400H	16GB	1TB SSD	NVIDIA RTX 3050Ti 4Gb	16.1 FHD	39999000	37999000
Laptop HP Gaming Omen 16-b0141TX (4Y0Z7PA) (i5 11400H/16GB RAM/1TB SSD+32GB/16.1 FHD/RTX 3060 6Gb/Win10/Đen)	Laptop HP	Intel Core 5 11400H	16GB	1TB SSD	NVIDIA RTX 3060 6Gb	16.1 FHD	43999000	41999000
Laptop HP Gaming VICTUS 16-e0175AX (4R0U8PA) (R5 5600H/8GB RAM/512GB SSD/16.1 FHD 144Hz/RTX 3050 4Gb/Win10/Đen)	Laptop HP	AMD R5 5600H	8GB(2*4GB)	512GB SSD	NVIDIA RTX 3050 4Gb	16.1 FHD 144Hz	24499000	23999000
Laptop HP Gaming VICTUS 16-d0197TX (4R0T9PA) (i7 11800H/16GB RAM/512GB SSD+32GB SSD/16.1 FHD 144Hz/RTX 3060 6Gb/Win10/Xanh)	Laptop HP	Intel Core i7 11800H	16GB	512GB SSD	NVIDIA RTX 3060 6Gb	16.1 FHD 144Hz	None	37999000
Laptop Lenovo Yoga Slim 7 14ITL05 (82A300A6VN) (i7 1165G7/8GB RAM/512GB SSD/14 FHD/Win/Tím)	Laptop Lenovo	Intel Core i7 1165G7	8GB	512GB SSD	Onboard	14 QHD	27999000	26999000
Laptop Lenovo Yoga Slim 7i Pro 14IUH5O (82NH0011VN) (i7 11370HG/16GB RAM/1TB SSD/14 OLED/MX450 2GB/Win/Bạc)	Laptop Lenovo	Intel Core i7 11370HG	16GB	1TB SSD	MX450 2GB	4 OLED (2880x1800)	35999000	34999000
Laptop MSI Creator Z16 (A11UET-218VN) (i9 11900H 32GB RAM/1TB SSD/RTX3060 6G/16.0 inch QHD Touch/Win 10/Xám) (2021)	Laptop MSI	Intel Core i9 11900H	16GB	1TB SSD	NVIDIA RTX3060 6G	16.0 inch QHD Cảm ứng	None	66989000
Laptop MSI Creator Z16 (A11UET-217VN) (i7 11800H 32GB RAM/1TB SSD/RTX3060 6G/16.0 inch QHD Touch/Win 10/Xám) (2021)	Laptop MSI	Intel Core i7 11800H	32GB	1TB SSD	NVIDIA RTX3060 6G	16.0 inch QHD Cảm ứng	None	61989000
Laptop MSI Creator M16 (A11UD-694VN) (i7 11800H 16GB RAM/1TB SSD/RTX3050Ti 4G/16.0 inch QHD/Win 10/Đen) (2021)	Laptop MSI	Intel Core i7 11800H	16GB	1TB SSD	NVIDIA RTX3050Ti 4G	16.0 inch QHD	None	39989000
Laptop Asus Gaming ROG Strix G513IM-HN057T (R7 4800H/16GB RAM/512GB SSD/15.6 FHD 144hz/RTX3060 6GB/Win10/Xám)	Laptop Asus	AMD R7 4800H	16GB (8*2)	512GB SSD SSD (trống 1 khe M.2 NVMe™)	NVIDIA RTX3060 6GB	15.6 inch FHD 144hz	32999000	32499000
Laptop Asus VivoBook A515EP-BQ498T (i5 1135G7/8GB RAM/512GB SSD/15.6 FHD/MX330 2GB/Win10/Bạc)	Laptop Asus	Intel Core i5 1135G7	8GB (trống 1 khe ram)	512GB SSD (có thể lắp thêm ổ 2.5)	Nvidia MX330 2GB	15.6 inch FHD	20199000	19999000
Laptop Dell Gaming G15 5515 (P105F004BGR) (R5 5600H/16GB RAM/ 512GB SSD/RTX3050 4G/15.6 inch FHD 120Hz/Win10/Xám)	Laptop Dell	AMD R5 5600H	16GB	512GB SSD	NVIDIA RTX3050 4G	15.6 inch FHD 120Hz	27989000	27689000
