Name	Link
"Laptop LG Gram 2021 16Z90P G.AH75A5 ( 16"" Quad HD+ (2K)/Intel Core i7-1165G7/16GB/512GB SSD/Windows 10 Home 64-bit/1.1kg)"	https://phongvu.vn/may-tinh-xach-tay-laptop-lg-gram-2021-16z90p-g-ah75a5-i7-1165g7-den-s210500990.html?sku=210500990
"Laptop LG Gram 2021 17ZD90P G.AX71A5 ( 17"" Quad HD+ (2K)/Intel Core i7-1165G7/16GB/256GB SSD/Free DOS/1.35kg)"	https://phongvu.vn/may-tinh-xach-tay-laptop-lg-gram-2021-17zd90p-g-ax71a5-i7-1165g7-trang-s210500991.html?sku=210500991
"Laptop LG Gram 2021 17Z90P G.AH76A5 ( 17"" Quad HD+ (2K)/Intel Core i7-1165G7/16GB/512GB SSD/Windows 10 Home 64-bit/1.35kg)"	https://phongvu.vn/may-tinh-xach-tay-laptop-lg-gram-2021-17z90p-g-ah76a5-i7-1165g7-bac-s210500992.html?sku=210500992
"Laptop Lenovo Yoga Slim 9 14ITL5 82D1004JVN ( 14"" Ultra HD (4K)/Intel Core i7-1165G7/16GB/1TB SSD/Windows 10 Home 64-bit/1.2kg)"	https://phongvu.vn/may-tinh-xach-tay-laptop-lenovo-yoga-slim-9-14itl5-82d1004jvn-i7-1165g7-den-s210600187.html?sku=210600187
Laptop Doanh Nghiệp Dell Latitude 3520 70251603 ( 15.6inch HD/Intel Core i3-1115G4/4GB/256GB SSD/Fedora/1.8kg)	https://phongvu.vn/may-tinh-xach-tay-laptop-dell-latitude-3520-3520-70251603-i3-1115g4-apollo-s210601910.html?sku=210601910
Laptop Doanh Nghiệp Dell Latitude 3420 L3420I5SSD ( 14inch HD/Intel Core i5-1135G7/8GB/256GB SSD/Fedora/1.5kg)	https://phongvu.vn/may-tinh-xach-tay-laptop-dell-latitude-3420-l3420i5ssd-i5-1135g7-xam-dam-s210602259.html?sku=210602259
"Laptop HP Pavilion 15-eg0504TU 46M00PA ( 15.6"" Full HD/Intel Core i7-1165G7/8GB/512GB SSD/Windows 11/1.6kg)"	https://phongvu.vn/may-tinh-xach-tay-laptop-hp-pavilion-15-eg0504tu-46m00pa-i7-1165g7-vang-s210602504.html?sku=210602504
"Laptop HP ProBook 430 G8 2H0N9PA ( 13.3"" Full HD/Intel Core i5-1135G7/8GB/512GB SSD/Windows 10 Home SL 64-bit/1.2kg)"	https://phongvu.vn/may-tinh-xach-tay-laptop-hp-probook-430-g8-2h0n9pa-i5-1135g7-bac-s210602727.html?sku=210602727
"Laptop GIGABYTE Aorus 15P KD-72S1223GH ( 15.6"" Full HD/ 240Hz/Intel Core i7-11800H/16GB/512GB SSD/NVIDIA GeForce RTX 3060/Windows 10 Home SL 64-bit/2.2kg)"	https://phongvu.vn/may-tinh-xach-tay-laptop-gigabyte-aorus-15p-kd-72s1223gh-i7-11800h-den-s210700018.html?sku=210700018
"Laptop GIGABYTE G5 MD 51S1123SH ( 15.6"" Full HD/ 144Hz/Intel Core i5-11400H/16GB/512GB SSD/NVIDIA GeForce RTX 3050Ti/Windows 10 Home SL 64-bit/2.2kg)"	https://phongvu.vn/may-tinh-xach-tay-laptop-gigabyte-g5-md-51s1223sh-i5-11400h-den-s210700020.html?sku=210700020
