Name	Link
Laptop Gaming Asus ROG Zephyrus G15 GA503QM-HQ158T (Ryzen 9-5900HS | 16GB | 512GB | RTX 3060 6GB | 15.6 inch WQHD | Win 10 | Eclipse Gray)	https://www.anphatpc.com.vn/laptop-gaming-asus-rog-zephyrus-g15-ga503qm-hq158t-ryzen-9-5900hs-16gb-512gb-rtx-3060-6gb-15.6-inch-wqhd-win-10-eclipse-gray_id38489.html
Laptop Acer Nitro 5 AN515-57-77KU NH.QDGSV.001 (Core i7-11800H | 16GB | 512GB | RTX 3060 6GB | 15.6 inch QHD | Win 10 | Đen)	https://www.anphatpc.com.vn/laptop-acer-nitro-5-an515-57-77ku-nh.qdgsv.001-core-i7-11800h-16gb-512gb-rtx-3060-6gb-15.6-inch-qhd-win-10-den_id38516.html
Laptop Asus ZenBook 14 UX425EA-KI429T (Core i5-1135G7 | 8GB | 512GB | Intel Iris Xe | 14.0 inch FHD | Win 10 | Xám)	https://www.anphatpc.com.vn/laptop-asus-zenbook-14-ux425ea-ki429t-core-i5-1135g7-8gb-512gb-intel-iris-xe-14.0-inch-fhd-win-10-xam_id38124.html
Laptop Fujitsu Lifebook U9311 L0U9311VN00000053 (Core i5-1135G7 | 16GB | 512GB + 32GB Optane | Intel® Iris | 13.3 inch FHD | FreeDos | Đen | Vỏ carbon)	https://www.anphatpc.com.vn/laptop-fujitsu-lifebook-u9311-core-i5-1135g7-16gb-512gb-32gb-optane-intel-iris-13.3-inch-fhd-freedos-den_id37208.html
Laptop Lenovo ThinkBook 15 G2 ITL 20VE0040VN (Core i7-1165G7 | 8GB | 512GB | MX450 2GB | 15.6 inch FHD | Win 10 | Xám)	https://www.anphatpc.com.vn/laptop-lenovo-thinkbook-15-g2-itl-20ve0040vn-core-i7-1165g7-8gb-512gb-mx450-2gb-15.6-inch-fhd-win-10-xam_id37622.html
Laptop Fujitsu Lifebook E5411/A (Core i5-1135G7 | 4GB | 256GB | Intel Iris | 14.0 inch HD | FreeDOS | Đen)	https://www.anphatpc.com.vn/laptop-fujitsu-lifebook-e5411-a-core-i5-1135g7-4gb-256gb-intel-iris-14.0-inch-hd-freedos-den_id37125.html
Laptop Gigabyte AERO 15 OLED KD 72S1623GH (Core i7-11800H | 16GB | 512GB SSD | RTX™ 3060 6GB | 15.6 inch UHD | Win 10 | Đen)	https://www.anphatpc.com.vn/laptop-gigabyte-aero-15-oled-kd-72s1623gh-core-i7-11800h-16gb-512gb-ssd-rtx-3060-6gb-15.6-inch-uhd-win-10-den_id38234.html
Laptop Lenovo Legion 7 16ACHg6 82N60039VN (Ryzen 9-5900HX | 32GB | 1TB SSD | RTX 3080 16GB | 16.0 inch WQXGA | Win 10 | Xám)	https://www.anphatpc.com.vn/laptop-lenovo-legion-7-16achg6-82n60039vn-ryzen-9-5900hx-32gb-1tb-ssd-rtx-3080-16gb-16.0-inch-wqxga-win-10-xam_id37714.html
Laptop Acer Nitro 5 Eagle AN515-57-74NU NH.QD9SV.001 (Core i7-11800H | 8GB | 512GB | RTX 3050 Ti 4GB | 15.6 inch FHD | Win 10 | Đen)	https://www.anphatpc.com.vn/laptop-acer-nitro-5-an515-57-74nu-nh.qd9sv.001-core-i7-11800h-8gb-512gb-rtx-3050-ti-4gb-15.6-inch-fhd-win-10-den_id38372.html
Laptop Acer Aspire 5 A515 (Core™ i3-1005G1 | 4GB | 128GB | Intel UHD | 15.6 inch FHD | Win 10 Nhập Khẩu Chính Hãng)	https://www.anphatpc.com.vn/laptop-acer-aspire-5-a515-core-i3-1005g1-4gb-128gb-intel-uhd-15.6-inch-fhd-win-10-nhap-khau-chinh-hang_id39134.html
