Name,Producer,CPU,Ram,Type disk,Capacity,Type GPU,VRAM,Size Display,Relu Display,Price
laptop asus rog zephyrus g14 ga401qe-k2026t (ryzen 7-5800hs | 16gb | 1tb ssd | rtx 3050 ti 4gb | 14.0 inch wqhd | win 10 | xám),asus,R7,16,1,1024,1,4,14,2560x1440,40990000
laptop asus tuf gaming a15 fa506qr-az003t (ryzen 7-5800h | 16gb | 512gb | rtx™ 3070 8gb | 15.6 inch fhd | win 10 | eclipse gray),asus,R7,16,1,512,1,8,15.6,1920x1080,39990000
laptop acer aspire 3 a315-56-502x nx.hs5sv.00f,acer,I5,4,1,256,0,0,15.6,1920x1080,14640000
laptop asus expertbook p2451fa-ek1620 (core™ i5-10210u | 8gb | 512gb | intel uhd | 14.0 inch fhd | free dos),asus,I5,8,1,512,0,0,14,1920x1080,19445000
laptop asus expertbook p2451fa-ek1623t (core™ i3-10110u | 4gb | 512gb | intel uhd | 14.0 inch fhd | free dos),asus,I3,4,1,512,0,0,14,1920x1080,15390000
laptop lg gram 2021 16z90p-g.ah75a5 (core i7-1165g7 | 16gb | 512gb | intel iris xe | 16.0 inch wqxga | win 10 | ?en),lg,I7,16,1,512,0,0,16,2560x1600,47945000
laptop lg gram 2021 14zd90p-g.ax51a5 (core i5-1135g7 | 8gb | 256gb | intel iris xe | 14.0 inch wuxga | freedos | tr?ng),lg,I5,8,1,256,0,0,14,1920x1200,33945000
laptop lg gram 2021 17zd90p-g.ax71a5 (core i7-1165g7 | 16gb | 256gb | intel iris xe | 17.0 inch wqxga | freedos | tr?ng),lg,I7,16,1,256,0,0,17,2560x1600,42990000
laptop lg gram 2021 14z90p-g.ah75a5 (core i7-1165g7 | 16gb | 512gb | intel iris xe | 14.0 inch wuxga | win 10 | ?en),lg,I7,16,1,512,0,0,14,1920x1200,46445000
laptop lg gram 2021 16zd90p-g.ax54a5 (core i5-1135g7 | 8gb | 512gb | intel iris xe | 16.0 inch wqxga | freedos | tr?ng),lg,I5,8,1,512,0,0,16,2560x1600,39490000
laptop lenovo thinkpad x13 gen 2 20wk00cuva (core i7-1165g7 | 8gb | 512gb | intel iris xe | 13.3 inch wqxga | freedos | ?en),lenovo,I7,8,1,512,0,0,13.3,2560x1600,36240000
laptop gaming asus rog strix g15 g513qm-hf295t (ryzen 7-5800h | 16gb | 512gb | rtx 3060 6gb | 15.6 inch fhd | win 10 | xám),gaming,R7,16,1,512,1,6,15.6,1920x1080,40490000
laptop asus rog zephyrus g14 ga401qm-k2041t,asus,R9,32,0,1024,1,6,14,2560x1440,49290000
laptop lenovo thinkpad x1 carbon gen 9 20xw0076vn (core i5-1135g7 | 8gb | 512gb | intel iris xe | 14 inch wuxga | win 10 | ?en),lenovo,I5,8,1,512,0,0,14,1920x1200,45890000
laptop asus rog zephyrus m16 gu603hr-k8036t (core i9-11900h | 32gb | 2tb ssd | rtx 3070 8gb | 16-inch wqxga | win 10 | ?en),asus,I9,32,1,2048,1,8,16,2560x1600,71940000
laptop asus rog zephyrus s17 gx703hs-k4016t (core™ i9-11900h | 32gb | 2tb | rtx™ 3080 16gb | 17.3-inch wqhd | win 10 | ?en),asus,I9,32,1,2048,1,16,17.3,2560x1440,99940000
laptop dell inspiron 5510 0wt8r1 (core i5-11300h | ram 8gb | 256gb ssd | 15.6 fhd | b?c | win 10),dell,I5,8,1,256,0,0,15.6,1920x1080,23290000
laptop acer gaming nitro 5 an515-57-56s5 nh.qeksv.001 (core i5-11400h | 8gb | 512gb | gtx™ 1650 4gb | 15.6 inch fhd | win 11 | ?en),acer,I5,8,1,512,1,4,15.6,1920x1080,24490000
laptop asus tuf gaming f15 fx506hcb-hn141w (core™ i7-11800h | 8gb | 512gb | rtx™ 3050 4gb | 15.6 inch fhd | win 11 | xám),asus,I7,8,1,512,1,4,15.6,1920x1080,28740000
laptop lenovo legion 5 15ith6 82jk0037vn (core™ i7-11800h | 8gb | 512gb | rtx 3050 4gb | 15.6 inch fhd | win 10 | xanh),lenovo,I7,8,1,512,1,4,15.6,1920x1080,34740000
laptop lenovo legion 5 15ith6 82jk0036vn (core™ i5-11400h | 8gb | 512gb | rtx 3050 4gb | 15.6 inch fhd | win 10 | xanh),lenovo,I5,8,1,512,1,4,15.6,1920x1080,31490000
laptop asus gaming tuf dash f15 fx516pm hn002w (core i7-11370h | 8gb | 512gb | rtx 3060 6gb | 15.6 inch fhd | win 11 | xám),asus,I7,8,1,512,1,6,15.6,1920x1080,32840000
laptop acer nitro 5 amd an515-45-r3sm nh.qbmsv.005 (ryzen 5-5600h | 8gb | 512gb | gtx 1650 4gb | 15.6' fhd | win10 | ?en),acer,R5,8,1,512,1,4,15.6,1920x1080,24190000
laptop lenovo thinkbook 13s g2 itl 20v9002gvn (core i7/ram 8gb/512gb ssd/intel iris/13.3 inch/win 10/xám),lenovo,I7,8,1,512,0,0,13.3,2560x1600,26990000
laptop lenovo thinkbook 13s g2 itl 20v9002fvn (i5/ram 8gb/512gb ssd/intel iris/13.3 inch/win 10/xám),lenovo,I5,8,1,512,0,0,13.3,2560x1600,24390000
laptop lenovo thinkbook 15 g2 itl 20ve006wvn,lenovo,I5,8,1,512,0,0,15.6,1920x1080,20390000
laptop msi pulse gl66 11udk 255vn (core i7-11800h | 16gb | 512gb | rtx 3050 ti 4gb | 15.6 inch fhd | win 10 | ?en),msi,I7,16,1,512,1,4,15.6,1920x1080,34290000
laptop lenovo legion 5 pro 16ith6h 82jd0046vn (core™ i7-11800h | 16gb | 512gb | rtx 3060 6gb | 16 inch wqxga | win 10 | tr?ng),lenovo,I7,16,1,512,1,6,16,2560x1600,46890000
laptop lenovo legion 5 pro 16ach6h 82jq001vvn (ryzen 7-5800h | 16gb | 512gb | rtx™ 3060 6gb | 16.0 inch wqxga | win 10 | xám),lenovo,R7,16,1,512,1,6,16,2560x1600,43340000
laptop acer gaming aspire 7 a715-42g-r6zr nh.qaysv.003 (ryzen r5-5500u | 8gb | 512gb | gtx 1650 4gb | 15.6 inch fhd | win 10 | ?en),acer,R5,8,1,512,1,4,15.6,1920x1080,22240000
laptop acer gaming aspire 7 a715-42g-r1sb nh.qaysv.005 (ryzen r5-5500u | 8gb | 256gb | gtx 1650 4gb | gtx 1650 4gb | 15.6 inch fhd | win 10 | ?en),acer,R5,8,1,256,1,4,15.6,1920x1080,20740000
laptop dell vostro 3400 70253899 (p132g003) (core i3-1115g4 | 8gb | 256gb ssd | win 10),dell,I3,8,1,256,0,0,14,1920x1080,15940000
laptop dell latitude 5520 42lt552000 (core i7-1185g7 | 8gb | 256gb | intel iris xe | 15.6 inch fhd | win 10 | ubuntu linux),dell,I7,8,1,256,0,0,15.6,1920x1080,31790000
laptop asus rog strix g15 g513ih-hn015t (ryzen 7-4800h | 8gb | 512gb | gtx 1650 4gb | 15.6 inch fhd | win 10 | xám),asus,R7,8,1,512,1,4,15.6,1920x1080,23740000
laptop asus vivobook a515ea-l12033t (core™ i5-1135g7 | 8gb | 512gb | intel® iris® xe | 15.6-inch fhd oled | win 10 | ?en),asus,I5,8,1,512,0,0,15.6,1920x1080,20390000
laptop asus vivobook x515ep-ej268t (core™ i5-1135g7 | 512gb | mx330 2gb | 15.6-inch fhd | win 10 | b?c),asus,I5,8,1,512,1,2,15.6,1920x1080,19140000
laptop lenovo v15 iil 82c5a00tvn (core™ i7-1065g7 | 8gb | 512gb | intel iris plus | 15.6 inch fhd | freedos |xám),lenovo,I7,8,1,512,0,0,15.6,1920x1080,19790000
laptop apple macbook air 13.3 inch z124000df xám (apple m1),apple,M1,16,1,512,0,0,13.3,2560x1600,37840000
laptop apple macbook air 13.3 inch z127000df b?c (apple m1),apple,M1,16,1,512,0,0,13.3,2560x1600,37840000
laptop dell latitude 3420 42lt342002 (core i5-1135g7 | 8gb | 1tb | intel iris xe | 14.0 inch hd | ubuntu | ?en),dell,I5,8,0,1024,0,0,14,1366x768,20290000
laptop dell latitude 3420 42lt342001 (core i3-1115g4 | 4gb | 256gb | intel uhd | 14.0 inch hd | fedora | ?en),dell,I3,4,1,256,0,0,14,1366x768,15640000
laptop dell mobile precision 3561 (core i7-11850h | 16gb | 256gb | t600 4gb | 15.6 inch fhd | ubuntu linux),dell,I7,16,0,256,1,4,15.6,1920x1080,44490000
laptop dell mobile precision 3551 (core i7-10750h | 16gb | 256gb | p620 4gb | 15.6 inch fhd | ubuntu linux),dell,I7,16,1,256,1,4,15.6,1920x1080,39790000
laptop dell alienware m15 r6 p109f001bbl (core™ i7-11800h | 32gb | 1tb | rtx 3060 6gb | 15.6 inch fhd | win 10 | office hs 19 | ?en),dell,I7,32,1,1024,1,6,15.6,1920x1080,60890000
laptop dell alienware m15 ryzen edition 70262921 (ryzen™ 9-5900hx | 16gb | 1tb | rtx 3070 8gb | 15.6 inch fhd | win 10 | office hs 19 | ?en),dell,R9,16,1,1024,1,8,15.6,1920x1080,59290000
laptop msi modern 14 b11mou-848vn (core i7-1195g7 | 8gb | 512gb | intel® iris® xe | 14 inch fhd | win 10 | gray),msi,I7,8,1,512,0,0,14,1920x1080,22190000
laptop hp probook 430 g8 2h0p1pa (core i7-1165g7 | 16gb | 512gb | intel iris xe | 13.3 inch fhd | win 10 | b?c),hp,I7,16,1,512,0,0,13.3,1920x1080,29640000
laptop msi gf63 thin 10sc 468vn (core i5-10500h | 8gb | 512gb | gtx 1650 4gb | 15.6 inch fhd | win 10 | ?en),msi,I5,8,1,512,1,4,15.6,1920x1080,21240000
laptop asus rog strix g17 g713qr-hg073t (ryzen™ 9-5900hx | 16gb | 1tb ssd | rtx™ 3070 8gb | 17.3 inch fhd | win 10 | xám),asus,R9,16,1,1024,1,8,17.3,1920x1080,51490000
laptop acer swift 3 sf313-53-518y nx.a4jsv.003 (core i5-1135g7 | 16gb | 512gb | 13.5 inch qhd | intel iris | win 10 | b?c),acer,I5,16,1,512,0,0,13.5,2256x1504,23240000
laptop hp 15 ef1300wm (ryzen 3-3250u | 4gb | 128gb | amd radeon | 15.6 inch fhd | win 10 | b?c | hàng nh?p kh?u),hp,R3,4,1,128,0,0,15.6,1920x1080,11990000
laptop dell vostro 3405 v4r53500u001w,dell,R5,4,1,256,0,0,14,1920x1080,15790000
laptop asus tuf gaming f15 fx506lh-hn002t (core i5-10300h | 8gb | 512gb | gtx 1650 4gb | 15.6 inch fhd | win 10),asus,I5,8,1,512,1,4,15.6,1920x1080,22740000
laptop lg gram 2021 17z90p-g.ah76a5 (core i7-1165g7 | 16gb | 512gb | intel iris xe | 17.0 inch wqxga | win 10 | b?c),lg,I7,6,1,512,0,0,17,2560x1600,51490000
laptop lg gram 2021 14zd90p-g.ax56a5 (core i5-1135g7 | 16gb | 512gb | intel iris xe | 14.0 inch wuxga | freedos | b?c),lg,I5,16,1,512,0,0,14,1920x1200,36945000
laptop acer aspire 3 a315-56-37dv nx.hs5sv.001,acer,I3,4,1,256,0,0,15.6,1920x1080,12590000
laptop fujitsu lifebook u9311 (core™ i7-1165g7 | 16gb | 1tb | intel iris xe | 13.3 inch fhd | freedos | ??),fujitsu,I7,16,0,1024,0,0,13.3,1920x1080,46490000
laptop dell vostro 5515 70262925 (ryzen™ 3-5300u | 8gb | 256gb | amd radeon | 15.6-inch fhd | win 10 | office | xám),dell,R3,8,0,256,0,0,15.6,1920x1080,18990000
laptop hp 240 g8 518w3pa (core™ i5-1135g7 | 4gb | 512gb | intel® iris® xe | 14 inch fhd | win 10 | b?c),hp,I5,4,1,512,0,0,14,1920x1080,18190000
laptop dell inspiron n3511a p112f001abl (core™ i3-1115g4 | 4gb | 256gb | intel uhd | 15.6-inch fhd | win 10 | office | ?en),dell,I3,4,1,256,0,0,15.6,1920x1080,15990000
laptop dell inspiron n3501c p90f002n3501c,dell,I3,4,1,256,0,0,15.6,1920x1080,15340000
laptop dell vostro 3500 v5i3001w (core i3-1115g4/ ram 8gb/ 256gb ssd/ intel uhd/ 15.6 inch fhd/ win 10/?en),dell,I3,8,1,256,0,0,15.6,1920x1080,15690000
laptop hp 340s g7 240q4pa,hp,I3,4,1,256,0,0,14,1920x1080,13740000
laptop msi bravo 15 b5dd 265vn (ryzen 5-5600h | 8gb | 512gb | rx 5500m 4gb | 15.6 inch fhd | win 11 | ?en),msi,R5,8,1,512,0,0,15.6,1920x1080,22740000
laptop asus rog zephyrus g14 ga401qe-k2097t (ryzen 9-5900hs | 16gb | 1tb ssd | rtx 3050 ti 4gb | 14.0 inch wqhd | win 10 | xám),asus,R9,16,1,1024,1,4,14,2560x1440,41994500
laptop dell latitude 7310 42lt730004,dell,I7,8,1,256,0,0,13.3,1920x1080,35990000
laptop fujitsu lifebook e5511/a l0e5511vn00000012 (core i5-1135g7 | 4gb | 256gb | intel iris | 15.6 inch hd | freedos | ?en),fujitsu,I5,4,0,256,0,0,15.6,1366x768,22240000
laptop dell inspiron 15 3505 y1n1t5 (ryzen™ 5-3500u | 8gb | 512gb | amd radeon™ | 15.6 inch fhd | win 10 | office home | ?en),dell,R5,8,1,512,0,0,15.6,1920x1080,21190000
laptop dell vostro v3500c p90f006cbl (core™ i5-1135g7 | 8gb | 512gb | mx330 2gb | 15.6-inch fhd | win 10 | office | ?en),dell,I5,8,1,512,1,2,15.6,1920x1080,22390000
laptop dell inspiron 14 5415 70262929 (ryzen™ 5-5500u | 8gb | 256gb | amd radeon | 14.0-inch fhd | win 10 | office | b?c),dell,R5,8,0,256,0,0,14,1920x1080,19640000
