Name	CPU	RAM	GPU	DISK	DISPLAY	Old Price	New Price
Laptop Lenovo Yoga Slim 7 14ITL05 82A3002QVN	Intel® Core™ i5-1135G7	8GB DDR4 3200MHz	Intel Iris Plus Graphics	512GB M.2 PCIe NVMe SSD	14.0 inch FHD (1920x1080) IPS, 300 nit	23990000	23490000
Laptop Lenovo Yoga Slim 7 14ITL05 82A300A6VN (Core i7-1165G7 | 8GB | 512GB | Intel Iris Xe | 14 inch FHD | Win 10 | Orchid)	Intel Core i7-1165G7	8GB Soldered DDR4-3200Mhz	Integrated Intel Iris Xe Graphics	512GB SSD M.2 2280 PCIe 4.0x4 NVMe	14 inch FHD (1920x1080) IPS 300nits Glossy, 100% sRGB	27990000	27690000
Laptop HP Envy 13-ba1534TU 4U6M3PA (Core i7-1165G7 | 16GB | 1TB | Intel® Iris® Xe | 13.3 inch FHD | Win 10 | Vàng)	Intel® Core™ i7-1165G7	16GB DDR4-2933MHz RAM (onboard)	Intel Iris Xe Graphics	1TB PCIe® NVMe™ M.2 SSD	13.3 inch FHD (1920 x 1080), IPS, edge-to-edge glass, micro-edge, 400 nits, 100% sRGB	33990000	32990000
Laptop HP Probook 430 G8 2H0N6PA (Core i5-1135G7 | 4GB | 256GB | Intel Iris Xe | 13.3 inch FHD | Win 10 | Bạc)	Intel® Core i5-1135G7	4GB(1 x 4GB) DDR4-3200Mhz	Intel® Iris® Xe Graphics	256GB PCIe® NVMe™ SSD	13.3 inch, FHD (1920 x 1080), IPS, narrow bezel, anti-glare, 250 nits, 45% NTSC	19990000	19490000
Laptop Dell XPS 13 9310 70262931 (Core i5-1135G7 | 8GB | 256GB | Intel® Iris® Xe | 13.4-inch FHD | Cảm ứng | Win 10 | Bạc)	Intel Core i5-1135G7	8GB LPDDR4x 4267MHz	Intel® Iris® Xe Graphics	256GB M.2 PCIe NVMe	13.4-inch FHD (1920 x 1200) - Cảm ứng	42990000	41990000
Laptop Dell Latitude 3420 L3420I3SSD (Core i3-1115G4 | 8GB | 256GB | Intel UHD | 14.0 inch HD | Fedora | Đen)	Intel® Core i3-1115G4	8GB 3200MHz DDR4	Intel® UHD graphics	M.2 256GB PCIe NVMe Class 35 SSD	14.0 inch HD (1366 x 768) AG Non-Touch, 220nits	17990000	17290000
Laptop Asus ROG Strix SCAR 15 G533QR-HQ098T (Ryzen 9-5900HX | 16GB | 1TB SSD | RTX 3070 8GB | 15.6 WQHD | Win 10 | Đen)	AMD Ryzen 9-5900HX	16GB(8GBx2) DDR4 3200MHz	NVIDIA® GeForce RTX™ 3070 8GB GDDR6	1TB M.2 NVMe™ PCIe® 3.0 SSD	15.6 WQHD (2560×1440) WV,300NITS,DCI-P3:100%, 165Hz AdaptiveSync, Nanoedge	59990000	58990000
Laptop Gaming Asus ROG STRIX SCAR 15 G533QM-HF089T (Ryzen 9-5900HX | 16GB | 1TB | RTX 3060 6GB | 15.6 inch FHD | Win 10)	AMD Ryzen 9-5900HX	16GB (8GB*2) DDR4 3200MHz	NVIDIA® GeForce RTX™ 3060 6GB GDDR6	1TB M.2 NVMe™ PCIe® 3.0 SSD	15.6 inch FHD (1920x1080) IPS, 100% sRGB, 300nits, 300Hz 3ms AdaptiveSync, Nanoedge	49999000	48990000
Laptop Gaming Asus ROG STRIX G15 G513QM-HF389T (Ryzen 9-5900HX | 16GB | 512GB | RTX 3060 6GB | 15.6 inch FHD | Win 10 | Xám)	AMD Ryzen 9-5900HX	16GB (8GB*2) DDR4 3200MHz	NVIDIA® GeForce RTX™ 3060 6GB GDDR6	512GB M.2 NVMe™ PCIe® 3.0 SSD	15.6inch FHD IPS, 100% sRGB, 300nits, 300Hz 3ms AdaptiveSync, Nanoedge	43990000	41990000
Laptop HP Probook 430 G8 2H0N9PA (Core i5-1135G7 | 8GB | 512GB | Intel Iris Xe | 13.3 inch FHD | Win 10 | Bạc)	Intel® Core i5-1135G7	8GB(1 x 8GB) DDR4-3200Mhz	Intel® Iris® Xe Graphics	512GB PCIe® NVMe™ SSD	13.3 inch, FHD (1920 x 1080), IPS, narrow bezel, anti-glare, 250 nits, 45% NTSC	21690000	21090000
